Boom;Regio;Grootte;Volume;Hoogte
1;Atlantic  ;24196;1,4;27
2;Atlantic  ;7900;3,4;21
3;Atlantic  ;23038;9,1;25
4;Atlantic  ;17042;1,6;3
5;Atlantic  ;7646;10,5;24
6;Atlantic  ;19938;2,5;17
7;Atlantic  ;7985;0,9;15
8;Atlantic  ;8897;6,8;0,3
9;Atlantic  ;8982;1,8;24
10;Atlantic  ;233;0,3;11
11;Atlantic  ;1598;0,9;15
12;Atlantic  ;1745;0,8;23
13;Atlantic  ;17042;2;24
14;Atlantic  ;4082;1,1;3
15;Atlantic  ;3775;0,6;13
16;Atlantic  ;13688;1,8;30
17;Atlantic  ;3978;4,8;9
18;Atlantic  ;5328;1,1;27
19;Atlantic  ;18480;3,6;9
20;Atlantic  ;10161;1,1;24
21;Atlantic  ;8643;1,1;23
22;Atlantic  ;9920;3,6;27
23;Atlantic  ;28389;8,1;24
24;Atlantic  ;21067;3,6;23
25;Atlantic  ;14870;1,8;18
26;Atlantic  ;2540;0,4;9
27;Atlantic  ;829;1,1;9
28;Atlantic  ;8992;1,2;4
29;California;559;4,1;18
30;California;433;1,6;6
31;California;259;2;17
32;California;1061;5,5;20
33;California;870;5,9;30
34;California;803;2,6;23
35;California;826;6;26
36;California;699;1;21
37;California;690;17,1;15
38;California;223;0,4;1
39;California;13;7,1;18
